,author,comment,published_time
0,lachlan,Locking my door at all times from now on...,2023-10-03T21:16:10Z
1,Straight_up_sav,Lux camera back in the 90s lol,2024-08-28T20:13:51Z
2,valdemarmarangon8383,It was good that Toby was the Ninja,2024-08-26T14:03:06Z
3,jayC0al,"29:43 ""f**k your life mate, your gone"" 😭",2024-08-24T21:33:39Z
4,dangdinogaming1027,JJ's mom stinks everyday,2024-08-23T23:15:25Z
5,stroolswilko,Best among us of 2024,2024-08-23T15:30:15Z
6,krishgujjar705,I can't lie Lanan is a Great addition to their lobby. He's just amazing,2024-08-23T09:01:42Z
7,PoweredbyHoumous,"Ethan went from bulling pan nan with Danny to loving him for putting the camera in lachy room, like he’s kinda fake",2024-08-22T07:20:47Z
8,Kjj2509,Love you lachlan and Lazer...we really appreciate you both showing up every time for among us recording and creating wonderful content.  🎉🎉,2024-08-21T06:36:22Z
9,GamingGeek888,Why is Caluxs camera so terrible,2024-08-21T03:15:58Z
10,Mrceejayhimself,12:15 :not vik sounding he saying ni**a lazer😂😂,2024-08-20T14:03:33Z
11,KajaTrpeska,2:10 💀💀💀A: Luke B: Emia,2024-08-20T06:11:57Z
12,danishhafezee3537,"Ethan when Lazar exposed the impostor using actual cam: that's incredible, well done.
Him when deji caught him on the game cam: !@#$@!$^$^TJR#^&$",2024-08-19T00:08:34Z
13,KingwesleyGD,25:13,2024-08-18T16:15:05Z
14,ErenSnakethug,What was lachlan watching😮😮😮,2024-08-16T18:08:56Z
15,RowebotPlayz,Only lazarbeam,2024-08-15T20:57:58Z
16,BxngTime2751,19:09 DEJIIIII😭😭😭,2024-08-13T06:18:15Z
17,BxngTime2751,16:07 IM CRYING LMAO DEJI WAS SO SUPRISED,2024-08-13T06:14:26Z
18,Nahyan_Z,Why does lazerbeam have the same exact among us character as me but I have a pet,2024-08-11T21:33:05Z
19,Akashdeep_Singh_Kashyap,26:25 lACHLAN is stupid to not kill Lazer,2024-08-10T08:30:30Z
20,alucard6246,29:40 had me rolling 😂,2024-08-07T09:49:58Z
21,danrandan16,of course deji goes on cams the nonce,2024-08-06T15:42:30Z
22,kasrasarlak7822,Dude why does Deji's picture have the avatar arrow on it😂,2024-08-06T10:05:30Z
23,tgsscrat8338,not the tiktoks lachy was watching at 3:52,2024-08-03T23:29:02Z
24,SATAN_hahaha,absolute  lazer masterclass,2024-08-03T13:05:06Z
25,jjj-zp1op,Poor deji,2024-08-02T05:52:24Z
26,DistinctFocusV2,lachlan knew the cam was there all along. just pretended for content.,2024-08-01T12:22:51Z
27,CPTM1,Actual GOATED moment from Lazar and Lachlan,2024-07-30T20:42:05Z
28,ezungr4038,Why deji dumb,2024-07-30T07:00:37Z
29,hassannadeem4171,19:12 this might be one of the best kills I’ve seen 😭,2024-07-28T19:21:41Z
30,ThatOneCongoleseDude,watch this video on 2x speed... trust me.,2024-07-27T09:59:18Z
31,EmmanuelUmoh-j1i,Pls what is the name of this game,2024-07-25T12:50:58Z
32,blixky1,3:53 that TikTok he was watching type crazy😂,2024-07-24T06:28:54Z
33,mannam615,"Jesus is the Way, the Truth and the Life..",2024-07-22T22:51:49Z
34,loopmasklifemask5054vr,Simon says I also have a dog behind me,2024-07-19T11:09:34Z
35,jeffkhan6827,Its funny that no ones realised the code name at the start was PICKLE lol 0:20,2024-07-17T21:33:26Z
36,nirbighnaguragain3502,Did lazar steal deji's camera,2024-07-16T15:02:14Z
37,Frostidd,How was this already 9 months ago?!,2024-07-16T13:51:41Z
38,PatrickFairs,Surely someone edited that TikTok onto Lachlan’s phone 3:53,2024-07-15T02:04:21Z
39,beastyt306,25:15,2024-07-13T06:11:58Z
40,Dominx21,19:19 damn,2024-07-11T01:58:34Z
41,Dominx21,17:24 😂,2024-07-11T01:56:02Z
42,l0xly158,Lazar is one of my favorites,2024-07-09T16:54:58Z
43,Not_sev67,Am I the only one who saw what Lachlan was watching 😂,2024-07-06T09:20:44Z
44,SamHandley-gz6kl,12:58,2024-07-05T18:01:31Z
45,uosifbasheer,WAIT WHY IS NOBODY TALKING ABOUT WHAT LACHLAN WAS WATCHING?😂,2024-07-04T21:56:09Z
46,IMBrainstormer,"""doji""
""diji""
all thats left is duji",2024-07-04T10:09:45Z
47,AnasHart,22:40 Ayoooo😂,2024-07-03T19:23:01Z
48,07ayshaaa_,Pls more among us videos,2024-07-02T02:21:36Z
49,sushilpatel6457,3:53 what is lachy watching,2024-06-28T14:42:28Z
50,Lucashoshino,26:03 what happened to family friendly,2024-06-26T04:32:11Z
51,k1ruha77,W Lazarbeam,2024-06-25T20:27:11Z
52,Butidontactuallycare,"@ksi, $5,000 for me to sub, sorry bozo",2024-06-22T04:34:01Z
53,sheluhhtaco9022,swear deji always got sum going on w his cam,2024-06-20T04:12:02Z
54,RiceCooker-ge2te,19:41  Deji thinks he’s so good lol,2024-06-20T04:07:05Z
